Dasun Shanaka,57,All rounder,707,107.44,16.38,17,7.47
Charith Asalanka,9,All rounder,295,132.88,36.87,0,14
Dinesh Chandimal,61,Wicket keeper Batsman,950,104.51,19.79,-,-
Dushmantha Chameera,39,Bowler,-,-,-,38,7.88
Akila Dhananjaya,31,All rounder,61,85.91,7.62,28,8.2
Wanidhu Hasaranga,33,All rounder,319,119.92,15.19,52,6.21
Dhananjaya de Silva,23,All rounder,412,108.42,20.6,5,7.12
Avishka Fernando,30,Batsman,325,93.93,12.5,-,-
Binura Fernando,6,Bowler,-,-,-,8,8.53
Chamika Karunaratne,14,Bowler,-,-,-,7,7.65
Lahiru Kumara,14,Bowler,-,-,-,14,8.25
